component,module,line,kind
ActivityDigest,src.aura.ui.agent_workspace.view_state,58,class
TimelineItemViewState,src.aura.ui.agent_workspace.view_state,71,class
AgentWorkspaceView,src.aura.ui.agent_workspace.workspace_view,133,class
TaskRail,src.aura.ui.agent_workspace_components,27,class
DynamicArtifactInspector,src.aura.ui.agent_workspace_components,125,class
EnvironmentDialog,src.aura.ui.agent_workspace_components,175,class
ControlPanelDialog,src.aura.ui.agent_workspace_components,211,class
RecoveryCard,src.aura.ui.agent_workspace_components,355,class
AgentWorkspaceTab,src.aura.ui.agent_workspace_tab,22,class
MainWindow,src.aura.ui.main_window,32,class
UIStrings,src.aura.ui.messages,13,class
SplitterTab,src.aura.ui.splitter_tab,25,class
SummaryClaimsTable,src.aura.ui.summary_claims_table,16,class
PreparedTranscript,src.aura.ui.transcript_io,19,class
TranscriptSession,src.aura.ui.transcript_io,29,class
TranscriptReviewTable,src.aura.ui.transcript_review_table,37,class
TranscriptionTab,src.aura.ui.transcription_tab,102,class
FieldValidationResult,src.summary.field_schemas,50,class
JsonGenerationClient,src.summary.layered_summary_pipeline,38,class
ExtractorLog,src.summary.layered_summary_pipeline,44,class
LayeredSummaryResult,src.summary.layered_summary_pipeline,55,class
OllamaGemmaError,src.summary.ollama_gemma4_client,19,class
OllamaGemmaConfig,src.summary.ollama_gemma4_client,24,class
OllamaGemma4Client,src.summary.ollama_gemma4_client,36,class
JsonLineRpcClientTests,tests.test_agent_codex_provider,38,class
CodexAppServerProviderTests,tests.test_agent_codex_provider,159,class
AgentRunControllerTests,tests.test_agent_controller,19,class
AgentEventTests,tests.test_agent_core,28,class
AgentStateTests,tests.test_agent_core,78,class
ModelProfileTests,tests.test_agent_core,201,class
WorkflowRegistryTests,tests.test_agent_core,279,class
StableDailyDomainTests,tests.test_agent_core,294,class
ActionRegistryTests,tests.test_agent_core,404,class
DemoAgentProviderTests,tests.test_agent_demo,8,class
AuraEvidenceAdapterTests,tests.test_agent_integrations,26,class
WorktreeManagerTests,tests.test_agent_integrations,182,class
RepositoryRegistryTests,tests.test_agent_integrations,266,class
ArchitecturePackageGeneratorTests,tests.test_agent_integrations,334,class
DummyTranscriptionTab,tests.test_agent_main_window,15,class
DummySplitterTab,tests.test_agent_main_window,27,class
DummyAgentTab,tests.test_agent_main_window,32,class
AgentMainWindowIntegrationTests,tests.test_agent_main_window,43,class
AgentRunStoreTests,tests.test_agent_persistence,21,class
AgentCatalogTests,tests.test_agent_persistence,95,class
AgentStorageManagerTests,tests.test_agent_persistence,260,class
PathPolicyTests,tests.test_agent_policy,22,class
CommandPolicyTests,tests.test_agent_policy,70,class
TransferBoundaryTests,tests.test_agent_policy,97,class
PolicyEngineTests,tests.test_agent_policy,182,class
InstructionTrustTests,tests.test_agent_policy,314,class
PublicationManagerTests,tests.test_agent_publication,28,class
DurableRunSchedulerTests,tests.test_agent_scheduler,25,class
